"Data","Adres IP","U¿ytkownik/Us³uga","Komunikat"
"Mar 27 13:06:56","0.0.0.0","1291"," Server listening on 0.0.0.0 port 22."
"Mar 27 13:08:09","85.245.107.41","1361"," Accepted publickey for ubuntu from 85.245.107.41 port 54259 ssh2: RSA SHA256:Kl8kPGZrTiz7g4FO1hyqHdsSBBb5Fge6NWOobN03XJg"
"Mar 27 13:44:19","85.245.107.41","1418"," Received disconnect from 85.245.107.41 port 54259:11: disconnected by user"
"Mar 27 13:44:19","85.245.107.41","1418"," Disconnected from 85.245.107.41 port 54259"
"Mar 27 13:44:20","85.245.107.41","2818"," Accepted publickey for ubuntu from 85.245.107.41 port 54866 ssh2: RSA SHA256:Kl8kPGZrTiz7g4FO1hyqHdsSBBb5Fge6NWOobN03XJg"
"Mar 27 14:01:39","122.176.37.221","2938"," error: maximum authentication attempts exceeded for root from 122.176.37.221 port 37107 ssh2 [preauth]"
"Mar 27 14:02:16","85.245.107.41","2856"," Received disconnect from 85.245.107.41 port 54866:11: disconnected by user"
"Mar 27 14:02:16","85.245.107.41","2856"," Disconnected from 85.245.107.41 port 54866"
"Mar 27 14:04:09","85.245.107.41","2951"," Bad protocol version identification '' from 85.245.107.41 port 55172"
"Mar 27 14:18:36","85.245.107.41","2955"," Bad protocol version identification '' from 85.245.107.41 port 56709"
"Mar 27 14:54:57","95.152.57.58","2967"," Invalid user support from 95.152.57.58"
"Mar 27 14:54:58","95.152.57.58","2967"," error: maximum authentication attempts exceeded for invalid user support from 95.152.57.58 port 53679 ssh2 [preauth]"
"Mar 27 15:30:59","209.160.24.191","2995"," Did not receive identification string from 209.160.24.191"
"Mar 27 15:46:53","90.144.183.19","2996"," error: maximum authentication attempts exceeded for root from 90.144.183.19 port 57648 ssh2 [preauth]"
"Mar 27 15:48:29","85.245.107.41","2998"," Accepted publickey for ubuntu from 85.245.107.41 port 57684 ssh2: RSA SHA256:Kl8kPGZrTiz7g4FO1hyqHdsSBBb5Fge6NWOobN03XJg"
"Mar 27 15:59:42","186.128.152.44","3242"," error: maximum authentication attempts exceeded for root from 186.128.152.44 port 34605 ssh2 [preauth]"
"Mar 27 16:16:06","218.65.30.53","3453"," Received disconnect from 218.65.30.53 port 22445:11:  [preauth]"
"Mar 27 16:16:06","218.65.30.53","3453"," Disconnected from 218.65.30.53 port 22445 [preauth]"
"Mar 27 16:23:46","89.97.55.33","3731"," Received disconnect from 89.97.55.33 port 44947:11: disconnected by user [preauth]"
"Mar 27 16:23:46","89.97.55.33","3731"," Disconnected from 89.97.55.33 port 44947 [preauth]"
"Mar 27 16:56:27","94.177.177.106","14299"," Received disconnect from 94.177.177.106 port 45905:11: Bye Bye [preauth]"
"Mar 27 16:56:27","94.177.177.106","14299"," Disconnected from 94.177.177.106 port 45905 [preauth]"
"Mar 27 17:08:23","85.245.107.41","3058"," Received disconnect from 85.245.107.41 port 57684:11: disconnected by user"
"Mar 27 17:08:23","85.245.107.41","3058"," Disconnected from 85.245.107.41 port 57684"
"Mar 27 17:08:34","85.245.107.41","14514"," Invalid user test from 85.245.107.41"
"Mar 27 17:08:34","85.245.107.41","14514"," Connection closed by 85.245.107.41 port 58980 [preauth]"
"Mar 27 17:08:36","85.245.107.41","14516"," Accepted publickey for ubuntu from 85.245.107.41 port 58981 ssh2: RSA SHA256:Kl8kPGZrTiz7g4FO1hyqHdsSBBb5Fge6NWOobN03XJg"
"Mar 27 17:26:16","113.108.21.16","14655"," Did not receive identification string from 113.108.21.16"
"Mar 27 18:22:24","201.177.23.130","14922"," Invalid user admin from 201.177.23.130"
"Mar 27 18:22:26","201.177.23.130","14922"," error: maximum authentication attempts exceeded for invalid user admin from 201.177.23.130 port 46784 ssh2 [preauth]"
"Mar 27 18:27:18","190.178.62.6","14924"," error: maximum authentication attempts exceeded for root from 190.178.62.6 port 56562 ssh2 [preauth]"
"Mar 27 18:27:19","190.178.62.6","14926"," error: maximum authentication attempts exceeded for root from 190.178.62.6 port 56567 ssh2 [preauth]"
"Mar 27 18:27:20","190.178.62.6","14928"," Invalid user support from 190.178.62.6"
"Mar 27 18:27:21","190.178.62.6","14928"," error: maximum authentication attempts exceeded for invalid user support from 190.178.62.6 port 56573 ssh2 [preauth]"
"Mar 27 18:27:25","190.178.62.6","14930"," error: maximum authentication attempts exceeded for root from 190.178.62.6 port 56589 ssh2 [preauth]"
"Mar 27 18:27:49","190.178.62.6","14932"," error: maximum authentication attempts exceeded for root from 190.178.62.6 port 56711 ssh2 [preauth]"
"Mar 27 19:07:01","209.160.24.191","14945"," Did not receive identification string from 209.160.24.191"
"Mar 27 19:17:03","201.43.243.37","14957"," Invalid user admin from 201.43.243.37"
"Mar 27 19:17:05","201.43.243.37","14957"," error: maximum authentication attempts exceeded for invalid user admin from 201.43.243.37 port 3904 ssh2 [preauth]"
"Mar 27 20:33:04","62.48.142.153","21240"," Received disconnect from 62.48.142.153 port 22567:11: disconnected by user [preauth]"
"Mar 27 20:33:04","62.48.142.153","21240"," Disconnected from 62.48.142.153 port 22567 [preauth]"
"Mar 27 20:36:49","68.33.123.70","21242"," error: maximum authentication attempts exceeded for root from 68.33.123.70 port 43002 ssh2 [preauth]"
"Mar 27 20:59:37","190.49.42.132","21255"," error: maximum authentication attempts exceeded for root from 190.49.42.132 port 60882 ssh2 [preauth]"
"Mar 27 22:02:41","112.135.124.229","21293"," Invalid user ftpuser from 112.135.124.229"
"Mar 27 22:02:42","112.135.124.229","21293"," error: maximum authentication attempts exceeded for invalid user ftpuser from 112.135.124.229 port 45965 ssh2 [preauth]"
"Mar 27 22:43:44","62.73.115.98","21309"," Invalid user admin from 62.73.115.98"
"Mar 27 22:43:45","62.73.115.98","21309"," error: maximum authentication attempts exceeded for invalid user admin from 62.73.115.98 port 2333 ssh2 [preauth]"
"Mar 27 23:47:15","2.60.103.231","21347"," Invalid user default from 2.60.103.231"
"Mar 27 23:47:15","2.60.103.231","21347"," error: maximum authentication attempts exceeded for invalid user default from 2.60.103.231 port 54339 ssh2 [preauth]"
"Mar 28 00:24:59","31.162.29.148","21363"," error: maximum authentication attempts exceeded for root from 31.162.29.148 port 51156 ssh2 [preauth]"
"Mar 28 00:49:58","179.39.18.38","21376"," error: maximum authentication attempts exceeded for root from 179.39.18.38 port 49361 ssh2 [preauth]"
"Mar 28 01:02:17","115.209.121.31","21378"," error: maximum authentication attempts exceeded for root from 115.209.121.31 port 48499 ssh2 [preauth]"
"Mar 28 02:01:05","113.89.184.179","21416"," error: maximum authentication attempts exceeded for root from 113.89.184.179 port 59117 ssh2 [preauth]"
"Mar 28 02:43:55","191.85.133.91","21432"," error: maximum authentication attempts exceeded for root from 191.85.133.91 port 40387 ssh2 [preauth]"
"Mar 28 02:43:57","191.85.133.91","21434"," error: maximum authentication attempts exceeded for root from 191.85.133.91 port 40392 ssh2 [preauth]"
